sehir,grup,kosuCinsi,mesafe,pist,siklet,yas,handikap,jokey,tam_salise
Istanbul,4_ve_Yukari_Araplar,SARTLI_5,1500,Sentetik,59.5,6yaa,82,AkinSOZEN,10408
Istanbul,3_Yasli_Araplar,G_2,1400,Cim,57,3yke,95,MehmetAKYAVUZ,9112
Istanbul,3_Yasli_Araplar,SARTLI_4,1600,Cim,57,3yke,50,GokhanKOCAKAYA,10879
Istanbul,4_Yasli_Araplar,Handikap_14_H1,1600,Cim,52,4yka,33,HalilKAPLAN,10726
Ankara,4_ve_Yukari_Araplar,SARTLI_3,2000,Kum,55,6yaa,57,VedatABIS,14646
Ankara,3_Yasli_Araplar,KV_7,1400,Cim,55,3yke,60,AhmetCELIK,9436
Ankara,3_ve_Yukari_Ingilizler,Handikap_17_H1,1300,Cim,50,4ykk,49,MuslumBAYDAN,7766
Ankara,3_Yasli_Ingilizler,Handikap_16_H1,1200,Kum,59.5,3yde,64,ErcanCANKAYA,7408
Ankara,2_Yasli_Ingilizler,Maiden,1400,Kum,57,2yae,33,OzcanYILDIRIM,9098
Ankara,4_ve_Yukari_Araplar,G_2,2200,Cim,60,5yaa,117,AhmetCELIK,15225
Ankara,3_ve_Yukari_Ingilizler,KV_6,1900,Cim,53.5,3ykd,67,MehmetSalihCELIK,11647
Ankara,4_ve_Yukari_Araplar,Handikap_16_Disi_H1,1300,Cim,54,5ykk,57,FatihRustemBEBEK,8524
Kocaeli,3_ve_Yukari_Ingilizler,SARTLI_5,2000,Kum,55,6yda,70,DanyalKAYA,13020
Kocaeli,3_Yasli_Ingilizler,Maiden,1500,Kum,58,3yde,35,AyhanKURSUN,9561
Kocaeli,3_Yasli_Ingilizler,Handikap_15_Disi_H2,1700,Kum,55,3yad,43,FurkanYUKSEL,11138
Kocaeli,4_ve_Yukari_Araplar,Handikap_15_H2,1800,Kum,59,6yka,58,NizamettinDEMIR,13035
Kocaeli,4_ve_Yukari_Araplar,KV_6,1200,Kum,59,5ykk,90,OnurYILDIZ,8079
Kocaeli,3_Yasli_Araplar,SARTLI_4,1400,Kum,60,3yae,51,TolgaYILDIZ,9848
Kocaeli,3_Yasli_Ingilizler,Maiden,1500,Kum,55,3yde,26,BerkanCIGLA,9617
Bursa,3_Yasli_Araplar,Maiden,1300,Kum,57,3yke,33,NevzatAVCI,9230
Bursa,3_ve_Yukari_Ingilizler,SARTLI_5,1800,Kum,57,5yda,84,ErcanCANKAYA,11708
Bursa,2_Yasli_Ingilizler,SARTLI_5,1400,Kum,55,2yde,46,AyhanKURSUN,8983
Bursa,4_ve_Yukari_Araplar,Handikap_15_Disi_H2,2100,Kum,59.5,5yak,47,ErcanCANKAYA,15157
Bursa,4_Yasli_Araplar,SARTLI_3,2100,Kum,58,4yka,45,VedatABIS,15098
Bursa,3_Yasli_Araplar,SARTLI_3,1400,Kum,58,3yke,44,VedatABIS,9885
Bursa,3_ve_Yukari_Ingilizler,SARTLI_4,1900,Kum,54,6ydk,75,AyhanKURSUN,12232
Bursa,3_Yasli_Araplar,Maiden,1300,Kum,57,3yae,32,TugayALICI,9167
Bursa,4_ve_Yukari_Araplar,SARTLI_3,1400,Kum,55,4yaa,75,MahsunDEMIRBAS,9681
Elazig,2_Yasli_Ingilizler,SARTLI_3_Disi,1200,Kum,57,2yad,42,YusufCENGIZ,7785
Elazig,3_Yasli_Ingilizler,Maiden,1900,Kum,58,3yae,25,NecmiALTIN,13068
Elazig,3_Yasli_Araplar,Handikap_14_H3,1200,Kum,54.5,3yae,34,BurakBEKTAS,8469
Elazig,4_ve_Yukari_Araplar,Handikap_16_Disi_H3,1600,Kum,63,6ykk,63,VedatKIZMAZ,11385
Elazig,3_Yasli_Ingilizler,Maiden,1900,Kum,54,3ydd,24,CanerTEPE,13101
